,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
Arc System Works  ,1.1600000000000001,10,11.0,1,0,1,0,1,1,1
Tigervision  ,0.0,0,36.0,0,0,0,0,0,0,0
Namco Bandai Games  ,88.08000000000006,187,10.0,1,1,1,1,1,1,1
Hot-B  ,0.0,0,21.0,0,0,0,0,0,0,0
Virtual Play Games  ,0.12,2,8.0,0,1,0,0,0,0,0
Electronic Arts  ,574.0399999999994,282,27.0,1,1,1,1,1,0,1
Eidos Interactive Ltd  ,0.09,1,3.0,0,0,1,0,0,0,0
Spike  ,0.04,1,16.0,0,0,0,0,1,0,0
GameTek  ,0.0,0,20.0,0,0,0,0,0,0,0
Big Ben Interactive  ,0.78,10,9.0,1,1,1,0,1,1,1
Technos Japan Corporation  ,0.0,0,22.0,0,0,0,0,0,0,0
49Games  ,0.06,1,9.0,1,0,0,0,0,0,0
989 Sports  ,0.0,0,19.0,0,0,0,0,0,0,0
Insomniac Games  ,0.52,2,2.0,0,0,1,0,0,0,1
Elf  ,0.0,0,22.0,0,0,0,0,0,0,0
7G//AMES  ,0.08,2,7.0,0,1,0,0,0,0,0
SouthPeak Games  ,0.08,1,6.0,1,0,0,0,0,0,0
Destineer  ,9.6,36,11.0,1,1,0,0,0,0,0
Enlight  ,0.0,0,13.0,0,0,0,0,0,0,0
FCI  ,0.0,0,25.0,0,0,0,0,0,0,0
ASC Games  ,0.0,0,22.0,0,0,0,0,0,0,0
Techland  ,0.15,4,1.0,0,0,1,0,0,0,1
Shogakukan  ,0.0,0,23.0,0,0,0,0,0,0,0
Shin'en  ,0.02,1,3.0,0,0,0,1,0,0,0
Frozenbyte  ,0.08,1,6.0,0,0,0,1,0,0,0
Mumbo Jumbo  ,0.48000000000000004,3,10.0,0,1,0,0,0,0,0
Ghostlight  ,0.32,2,9.0,0,1,0,0,1,0,0
Irem Software Engineering  ,0.04,1,27.0,0,0,0,0,1,0,0
Sammy Corporation  ,0.0,0,25.0,0,0,0,0,0,0,0
Vatical Entertainment  ,0.0,0,19.0,0,0,0,0,0,0,0
Glams  ,0.0,0,23.0,0,0,0,0,0,0,0
Sony Music Entertainment  ,0.0,0,17.0,0,0,0,0,0,0,0
505 Games  ,30.599999999999994,73,10.0,1,1,1,1,1,1,1
