,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
Trigger Apps  ,0.0,0,20.0,0,0,0,0,0,0,0
Deep Silver  ,37.80000000000002,76,9.0,1,1,1,1,1,0,1
Epic Games  ,0.16,1,2.0,0,0,0,0,0,0,1
FuRyu Corporation  ,3.72,17,3.0,1,0,1,0,1,1,1
Time Warner Interactive  ,0.0,0,23.0,0,0,0,0,0,0,0
Yamasa Entertainment  ,0.02,1,12.0,0,1,0,0,0,0,0
GameMill Entertainment  ,0.37999999999999995,2,6.0,1,0,0,0,0,0,1
Dusenberry Martin Racing  ,0.45,2,2.0,0,0,1,0,0,0,1
Midas Interactive Entertainment  ,0.04,1,15.0,0,1,0,0,0,0,0
"Destination Software, Inc  ",0.6699999999999999,1,11.0,0,1,0,0,0,0,0
Buena Vista  ,0.19,1,14.0,0,1,0,0,0,0,0
T&E Soft  ,0.0,0,25.0,0,0,0,0,0,0,0
Sunrise Interactive  ,0.0,0,18.0,0,0,0,0,0,0,0
JVC  ,0.0,0,23.0,0,0,0,0,0,0,0
Yumedia  ,0.0,0,23.0,0,0,0,0,0,0,0
Nichibutsu  ,0.0,0,23.0,0,0,0,0,0,0,0
Hamster Corporation  ,0.0,0,16.0,0,0,0,0,0,0,0
Interchannel  ,0.0,0,12.0,0,0,0,0,0,0,0
ReadySoft  ,0.0,0,22.0,0,0,0,0,0,0,0
WayForward Technologies  ,0.11,1,2.0,0,0,0,1,0,0,0
Codemasters  ,52.940000000000026,69,20.0,1,1,1,0,1,0,1
ASCII Media Works  ,0.0,0,10.0,0,0,0,0,0,0,0
989 Studios  ,0.0,0,20.0,0,0,0,0,0,0,0
Phantom 8 Studio  ,0.05,2,0.0,0,0,1,0,0,0,1
Mystique  ,0.0,0,36.0,0,0,0,0,0,0,0
MLB.com  ,0.54,5,2.0,0,0,1,0,0,1,1
SystemSoft Alpha  ,0.02,1,6.0,0,0,0,0,1,0,0
Griffin International  ,0.16999999999999998,1,8.0,1,0,0,0,0,0,0
Falcom  ,0.04,1,0.0,0,0,0,0,0,0,1
2K Games  ,91.71,54,13.0,1,1,1,0,1,0,1
GT Interactive  ,0.0,0,23.0,0,0,0,0,0,0,0
Valcon Games  ,1.83,12,13.0,1,1,0,0,1,0,0
Interchannel-Holon    ,0.0,0,11.0,0,0,0,0,0,0,0
Qute  ,0.02,1,7.0,1,0,0,0,0,0,0
Take-Two Interactive  ,15.64,9,21.0,1,1,1,0,1,0,1
Trion Worlds  ,1.78,2,5.0,1,0,0,0,1,0,0
Media Rings  ,0.0,0,24.0,0,0,0,0,0,0,0
Badland Studio  ,0.05,1,2.0,0,0,0,0,0,0,1
Blizzard Entertainment  ,19.47,4,4.0,0,0,1,0,0,0,1
Kids Station  ,0.0,0,12.0,0,0,0,0,0,0,0
El Dia  ,0.02,1,0.0,0,0,0,0,0,0,1
Nippon Ichi Software  ,0.3400000000000001,9,11.0,0,0,0,0,1,1,1
Alliance Digital Media  ,0.1,1,1.0,0,0,0,0,0,1,0
Warp  ,0.0,0,21.0,0,0,0,0,0,0,0
HB Studios  ,0.24,1,3.0,0,0,0,0,0,0,1
Compile  ,0.0,0,23.0,0,0,0,0,0,0,0
Team17 Digital Ltd  ,0.13,2,2.0,0,0,1,0,0,0,1
Majesco  ,44.980000000000004,52,17.0,1,1,0,0,1,0,0
NEC Interchannel   ,0.0,0,22.0,0,0,0,0,0,0,0
Hudson Entertainment  ,0.18999999999999997,2,21.0,0,1,0,0,0,0,0
Encore  ,0.0,0,17.0,0,0,0,0,0,0,0
Bandai  ,2.3600000000000003,7,32.0,0,1,0,0,1,0,0
Quintet  ,0.0,0,20.0,0,0,0,0,0,0,0
NIS America  ,15.889999999999993,63,14.0,0,1,0,1,1,1,1
Introversion Software  ,0.13,2,2.0,0,0,1,0,0,0,1
ValuSoft  ,0.0,0,13.0,0,0,0,0,0,0,0
Milestone  ,0.5,3,8.0,0,1,1,0,0,0,1
Williams Entertainment  ,0.0,0,23.0,0,0,0,0,0,0,0
CyberFront  ,0.1,3,11.0,1,0,0,0,0,0,0
Infogrames  ,0.0,0,20.0,0,0,0,0,0,0,0
Namco Bandai  ,95.58999999999995,117,13.0,1,1,0,0,1,0,0
Answer Software  ,0.0,0,35.0,0,0,0,0,0,0,0
Black Label Games  ,0.0,0,16.0,0,0,0,0,0,0,0
Dimple Entertainment  ,0.0,0,9.0,0,0,0,0,0,0,0
System 3 Arcade Software  ,0.14,3,9.0,0,1,0,0,1,0,0
Tripwire Interactive  ,0.53,2,2.0,0,0,1,0,0,0,1
Evolved Games  ,0.42,3,13.0,1,0,0,0,1,0,0
League of Geeks  ,0.01,1,0.0,0,0,0,0,0,0,1
Falcom Corporation  ,0.13999999999999999,3,6.0,0,0,0,0,1,0,0
Gaga  ,0.0,0,22.0,0,0,0,0,0,0,0
Sunsoft  ,0.0,0,24.0,0,0,0,0,0,0,0
Navarre Corp  ,0.09,1,10.0,1,0,0,0,0,0,0
Nighthawk Interactive  ,0.5599999999999999,9,2.0,0,0,1,1,0,1,1
Playmore  ,0.0,0,16.0,0,0,0,0,0,0,0
Kemco  ,0.0,0,27.0,0,0,0,0,0,0,0
Gust  ,0.0,0,22.0,0,0,0,0,0,0,0
Capcom  ,162.67999999999998,163,32.0,1,1,1,1,1,1,1
Vic Tokai  ,0.0,0,22.0,0,0,0,0,0,0,0
MLB Advanced Media  ,0.18000000000000002,3,0.0,0,0,1,0,0,1,1
Metro 3D  ,0.0,0,17.0,0,0,0,0,0,0,0
Frontier Developments  ,1.13,4,1.0,0,0,1,0,0,0,1
Datam Polystar  ,0.0,0,16.0,0,0,0,0,0,0,0
Game Arts  ,0.0,0,24.0,0,0,0,0,0,0,0
Misawa  ,0.0,0,25.0,0,0,0,0,0,0,0
Zoo Digital Publishing  ,2.29,12,15.0,0,1,0,0,0,0,0
Banpresto  ,0.02,1,27.0,1,0,0,0,0,0,0
GameTrust  ,0.62,4,1.0,0,0,1,0,0,1,1
Rising Star Games  ,0.7700000000000002,11,5.0,0,0,0,1,1,1,1
Gun Media  ,0.8700000000000001,2,1.0,0,0,1,0,0,0,1
Graffiti  ,0.6699999999999999,5,9.0,0,1,0,0,0,0,0
Ocean  ,0.0,0,25.0,0,0,0,0,0,0,0
Spectrum Holobyte  ,0.0,0,22.0,0,0,0,0,0,0,0
Jaleco  ,0.06,1,23.0,0,1,0,0,0,0,0
Mindscape  ,2.54,9,26.0,0,1,0,0,0,0,0
Nintendo  ,946.2699999999993,133,35.0,0,1,0,1,0,1,0
Crytek  ,0.48,1,2.0,0,0,0,0,0,0,1
Sonnet  ,0.0,0,23.0,0,0,0,0,0,0,0
Milestone S.r.l  ,0.89,4,2.0,0,0,1,0,0,0,1
Badland Games  ,0.15000000000000002,1,1.0,0,0,0,0,0,0,1
Microprose  ,0.0,0,23.0,0,0,0,0,0,0,0
Media Factory  ,0.0,0,17.0,0,0,0,0,0,0,0
Broccoli  ,0.0,0,12.0,0,0,0,0,0,0,0
Victor Interactive  ,0.0,0,25.0,0,0,0,0,0,0,0
Gaijinworks  ,0.16,1,1.0,0,0,0,0,0,0,1
Sony Interactive Entertainment  ,12.230000000000002,6,1.0,0,0,0,0,0,0,1
Stainless Games  ,0.1,2,2.0,0,0,1,0,0,0,1
Kaga Create  ,0.04,1,3.0,0,0,0,0,1,0,0
Microids  ,0.36,4,1.0,0,0,1,0,0,1,1
Devolver Digital  ,0.28,2,4.0,0,0,0,0,0,0,1
General Entertainment  ,0.0,0,20.0,0,0,0,0,0,0,0
NovaLogic  ,0.0,0,13.0,0,0,0,0,0,0,0
Paon Corporation  ,0.06,1,5.0,0,0,0,0,1,0,0
System Soft  ,0.0,0,10.0,0,0,0,0,0,0,0
Maxis  ,0.0,0,23.0,0,0,0,0,0,0,0
CDV Software Entertainment  ,2.63,3,9.0,1,0,0,0,1,0,0
Toby Fox  ,0.02,1,1.0,0,0,0,0,0,0,1
Riverhillsoft  ,0.0,0,23.0,0,0,0,0,0,0,0
Kalypso Media  ,2.15,23,6.0,1,0,1,0,1,0,1
GungHo  ,0.03,1,9.0,0,0,0,0,0,0,1
Vir2L Studios  ,0.31000000000000005,1,9.0,0,1,0,0,0,0,0
